0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	336
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0080	  0.0088	   0.009	   0.045
    1	  0.0100	  0.0162	   0.016	   0.095
    2	  0.0130	  0.0250	   0.025	   0.145
    3	  0.0170	  0.0337	   0.034	   0.195
    4	  0.0200	  0.0412	   0.041	   0.245
    5	  0.0250	  0.0500	   0.050	   0.295
    6	  0.0290	  0.0587	   0.059	   0.345
    7	  0.0330	  0.0662	   0.066	   0.395
    8	  0.0390	  0.0750	   0.075	   0.445
    9	  0.0450	  0.0837	   0.084	   0.495
   10	  0.0500	  0.0912	   0.091	   0.545
   11	  0.0570	  0.1000	   0.100	   0.595
   12	  0.0640	  0.1075	   0.107	   0.645
   13	  0.0720	  0.1163	   0.116	   0.695
   14	  0.0800	  0.1250	   0.125	   0.745
   15	  0.0880	  0.1325	   0.132	   0.795
   16	  0.0970	  0.1412	   0.141	   0.845
   17	  0.1060	  0.1500	   0.150	   0.895
   18	  0.1150	  0.1575	   0.157	   0.945
   19	  0.1240	  0.1662	   0.166	   0.995
   20	  0.1330	  0.1750	   0.175	   1.045
   21	  0.1420	  0.1825	   0.182	   1.095
   22	  0.1520	  0.1912	   0.191	   1.145
   23	  0.1620	  0.1987	   0.199	   1.195
   24	  0.1720	  0.2075	   0.207	   1.245
   25	  0.1840	  0.2163	   0.216	   1.295
   26	  0.1960	  0.2237	   0.224	   1.345
   27	  0.2080	  0.2325	   0.233	   1.395
   28	  0.2210	  0.2412	   0.241	   1.445
   29	  0.2360	  0.2488	   0.249	   1.495
   30	  0.2510	  0.2575	   0.257	   1.545
   31	  0.2660	  0.2650	   0.265	   1.595
   32	  0.2820	  0.2738	   0.274	   1.645
   33	  0.2970	  0.2825	   0.282	   1.695
   34	  0.3150	  0.2912	   0.291	   1.745
   35	  0.3320	  0.2987	   0.299	   1.795
   36	  0.3490	  0.3075	   0.308	   1.845
   37	  0.3680	  0.3150	   0.315	   1.895
   38	  0.3870	  0.3237	   0.324	   1.945
   39	  0.4050	  0.3325	   0.332	   1.995
   40	  0.4250	  0.3400	   0.340	   2.045
   41	  0.4440	  0.3487	   0.349	   2.095
   42	  0.4630	  0.3562	   0.356	   2.145
   43	  0.4820	  0.3650	   0.365	   2.195
   44	  0.5020	  0.3738	   0.374	   2.245
   45	  0.5210	  0.3812	   0.381	   2.295
   46	  0.5390	  0.3900	   0.390	   2.345
   47	  0.5580	  0.3987	   0.399	   2.395
   48	  0.5770	  0.4062	   0.406	   2.445
   49	  0.5960	  0.4150	   0.415	   2.495
   50	  0.6150	  0.4237	   0.424	   2.545
   51	  0.6340	  0.4312	   0.431	   2.595
   52	  0.6530	  0.4400	   0.440	   2.645
   53	  0.6730	  0.4487	   0.449	   2.695
   54	  0.6920	  0.4562	   0.456	   2.745
   55	  0.7100	  0.4650	   0.465	   2.795
   56	  0.7280	  0.4725	   0.472	   2.845
   57	  0.7470	  0.4812	   0.481	   2.895
   58	  0.7650	  0.4900	   0.490	   2.945
   59	  0.7840	  0.4975	   0.498	   2.995
   60	  0.8030	  0.5062	   0.506	   3.045
   61	  0.8210	  0.5138	   0.514	   3.095
   62	  0.8400	  0.5225	   0.522	   3.145
   63	  0.8590	  0.5312	   0.531	   3.195
   64	  0.8770	  0.5387	   0.539	   3.245
   65	  0.8960	  0.5475	   0.548	   3.295
   66	  0.9150	  0.5562	   0.556	   3.345
   67	  0.9340	  0.5637	   0.564	   3.395
   68	  0.9520	  0.5725	   0.572	   3.445
   69	  0.9710	  0.5813	   0.581	   3.495
   70	  0.9900	  0.5888	   0.589	   3.545
   71	  1.0080	  0.5975	   0.597	   3.595
   72	  1.0270	  0.6050	   0.605	   3.645
   73	  1.0460	  0.6137	   0.614	   3.695
   74	  1.0640	  0.6225	   0.623	   3.745
   75	  1.0810	  0.6300	   0.630	   3.795
   76	  1.1000	  0.6387	   0.639	   3.845
