Index,Load (kN),Defor (mm)
0,0.008,0.0088
1,0.012,0.0162
2,0.016,0.025
3,0.011,0.0325
4,0.01,0.0412
5,0.011,0.05
6,0.012,0.0575
7,0.012,0.0662
8,0.016,0.075
9,0.02,0.0825
10,0.024,0.0912
11,0.026,0.1
12,0.03,0.1075
13,0.033,0.1163
14,0.036,0.125
15,0.039,0.1325
16,0.03,0.1412
17,0.025,0.15
18,0.038,0.1575
19,0.05,0.1662
20,0.064,0.175
21,0.077,0.1825
22,0.091,0.1912
23,0.105,0.1987
24,0.12,0.2075
25,0.136,0.2163
26,0.153,0.2237
27,0.17,0.2325
28,0.19,0.2412
29,0.211,0.2488
30,0.232,0.2575
31,0.255,0.2662
32,0.277,0.2738
33,0.301,0.2825
34,0.324,0.2912
35,0.346,0.2987
36,0.369,0.3075
37,0.393,0.3162
38,0.416,0.3237
39,0.439,0.3325
40,0.463,0.3413
41,0.488,0.3487
42,0.514,0.3575
43,0.54,0.3662
44,0.567,0.3738
45,0.595,0.3825
46,0.625,0.3912
47,0.654,0.3987
48,0.683,0.4075
49,0.714,0.4162
50,0.745,0.425
51,0.776,0.4325
52,0.806,0.4412
53,0.837,0.45
54,0.869,0.4575
55,0.9,0.4663
56,0.932,0.475
57,0.964,0.4825
58,0.996,0.4912
59,1.028,0.4988
60,1.06,0.5075
61,1.092,0.5163
62,1.124,0.525
63,1.156,0.5325
64,1.188,0.5412
65,1.22,0.55
66,1.252,0.5575
67,1.285,0.5662
68,1.317,0.5737
69,1.35,0.5825
70,1.383,0.5913
71,1.416,0.5987
72,1.45,0.6075
73,1.483,0.6162
74,1.517,0.6237
75,1.551,0.6325
76,1.586,0.6413
77,1.62,0.65
78,1.656,0.6575
79,1.691,0.6662
80,1.727,0.675
81,1.763,0.6825
82,1.799,0.6912
83,1.834,0.7
84,1.87,0.7075
85,1.906,0.7163
86,1.941,0.725
87,1.977,0.7325
88,2.013,0.7412
89,2.049,0.75
90,2.085,0.7575
91,2.121,0.7662
92,2.157,0.775
93,2.193,0.7825
94,2.23,0.7912
95,2.265,0.8
96,2.3,0.8075
97,2.335,0.8162
98,2.371,0.8237
99,2.405,0.8325
100,2.44,0.8413
101,2.474,0.85
102,2.508,0.8575
103,2.542,0.8662
104,2.576,0.875
105,2.609,0.8825
106,2.643,0.8912
107,2.676,0.9
108,2.71,0.9075
109,2.743,0.9162
110,2.776,0.925
111,2.81,0.9325
112,2.843,0.9412
113,2.875,0.95
114,2.906,0.9575
115,2.938,0.9663
116,2.971,0.975
117,3.002,0.9825
118,3.033,0.9912
119,3.064,1.0
120,3.095,1.0075
121,1.6,1.015
122,1.321,1.0237
123,1.347,1.0325
124,1.37,1.04
125,1.393,1.0487
126,1.415,1.0575
127,1.437,1.0662
128,1.457,1.0738
129,1.478,1.0825
130,1.498,1.0912
131,1.518,1.0987
132,1.538,1.1075
133,1.557,1.1162
134,1.574,1.1237
135,1.591,1.1325
136,1.609,1.1413
137,1.626,1.15
138,1.642,1.1575
139,1.658,1.1662
140,1.675,1.175
141,1.691,1.1825
142,1.707,1.1912
143,1.721,1.2
144,1.737,1.2075
145,1.752,1.2162
