Index,Load (kN),Defor (mm)
146,1.766,1.225
147,1.78,1.2337
148,1.795,1.2412
149,1.808,1.25
150,1.822,1.2587
151,1.834,1.2663
152,1.847,1.275
153,1.859,1.2837
154,1.871,1.2912
155,1.884,1.3
156,1.895,1.3087
157,1.906,1.3162
158,1.917,1.325
159,1.929,1.3338
160,1.94,1.3412
161,1.951,1.35
162,1.959,1.3587
163,1.967,1.3675
164,1.976,1.375
165,1.983,1.3837
166,1.985,1.3925
167,1.992,1.4
168,2.0,1.4087
169,2.008,1.4175
170,2.017,1.4262
171,2.027,1.4337
172,2.033,1.4425
173,2.026,1.4512
174,2.031,1.4588
175,2.038,1.4675
176,2.044,1.4762
177,2.051,1.4837
178,2.058,1.4925
179,2.064,1.5012
180,2.07,1.51
181,2.075,1.5175
182,2.078,1.5263
183,2.083,1.535
184,2.007,1.5425
185,1.915,1.5512
186,1.902,1.56
187,1.882,1.5688
188,1.809,1.5762
189,1.743,1.585
190,1.715,1.5938
191,1.697,1.6012
192,1.685,1.61
193,1.676,1.6187
194,1.668,1.6262
195,1.661,1.635
196,1.653,1.6437
197,1.644,1.6525
198,1.638,1.66
199,1.633,1.6687
200,1.629,1.6775
201,1.626,1.6862
202,1.622,1.6937
203,1.618,1.7025
204,1.608,1.7112
205,1.448,1.72
206,1.425,1.7275
207,1.424,1.7362
208,1.425,1.7437
209,1.425,1.7525
210,1.428,1.7613
211,1.429,1.77
212,1.43,1.7775
213,1.431,1.7862
214,1.433,1.795
215,1.435,1.8037
216,1.436,1.8112
217,1.438,1.82
218,1.441,1.8288
219,1.442,1.8362
220,1.383,1.845
221,1.081,1.8537
222,0.938,1.8625
223,0.853,1.87
224,0.841,1.8787
225,0.838,1.8875
226,0.836,1.895
227,0.836,1.9037
228,0.837,1.9125
229,0.838,1.92
230,0.84,1.9287
231,0.842,1.9375
232,0.843,1.9462
233,0.845,1.9538
234,0.847,1.9625
235,0.85,1.9712
236,0.852,1.9787
237,0.855,1.9875
238,0.856,1.9962
239,0.858,2.0037
240,0.859,2.0125
241,0.86,2.0213
242,0.86,2.03
243,0.862,2.0375
244,0.863,2.0462
245,0.864,2.055
246,0.858,2.0625
247,0.826,2.0712
248,0.433,2.08
249,0.131,2.0875
250,0.119,2.0963
251,0.112,2.105
252,0.106,2.1125
253,0.103,2.1212
254,0.1,2.13
255,0.097,2.1387
256,0.096,2.1463
257,0.094,2.155
258,0.09,2.1637
259,0.083,2.1712
260,0.074,2.18
261,0.069,2.1888
262,0.066,2.1962
263,0.061,2.205
264,0.058,2.2137
265,0.056,2.2225
266,0.05,2.23
267,0.046,2.2387
268,0.043,2.2475
269,0.04,2.255
270,0.039,2.2637
271,0.035,2.2725
272,0.035,2.28
273,0.036,2.2887
274,0.035,2.2975
275,0.031,2.3062
276,0.024,2.3138
277,0.023,2.3225
