Index,Load (kN),Defor (mm)
0,0.008,0.0088
1,0.01,0.0162
2,0.013,0.025
3,0.017,0.0337
4,0.02,0.0412
5,0.025,0.05
6,0.029,0.0587
7,0.033,0.0662
8,0.039,0.075
9,0.045,0.0837
10,0.05,0.0912
11,0.057,0.1
12,0.064,0.1075
13,0.072,0.1163
14,0.08,0.125
15,0.088,0.1325
16,0.097,0.1412
17,0.106,0.15
18,0.115,0.1575
19,0.124,0.1662
20,0.133,0.175
21,0.142,0.1825
22,0.152,0.1912
23,0.162,0.1987
24,0.172,0.2075
25,0.184,0.2163
26,0.196,0.2237
27,0.208,0.2325
28,0.221,0.2412
29,0.236,0.2488
30,0.251,0.2575
31,0.266,0.265
32,0.282,0.2738
33,0.297,0.2825
34,0.315,0.2912
35,0.332,0.2987
36,0.349,0.3075
37,0.368,0.315
38,0.387,0.3237
39,0.405,0.3325
40,0.425,0.34
41,0.444,0.3487
42,0.463,0.3562
43,0.482,0.365
44,0.502,0.3738
45,0.521,0.3812
46,0.539,0.39
47,0.558,0.3987
48,0.577,0.4062
49,0.596,0.415
50,0.615,0.4237
51,0.634,0.4312
52,0.653,0.44
53,0.673,0.4487
54,0.692,0.4562
55,0.71,0.465
56,0.728,0.4725
57,0.747,0.4812
58,0.765,0.49
59,0.784,0.4975
60,0.803,0.5062
61,0.821,0.5138
62,0.84,0.5225
63,0.859,0.5312
64,0.877,0.5387
65,0.896,0.5475
66,0.915,0.5562
67,0.934,0.5637
68,0.952,0.5725
69,0.971,0.5813
70,0.99,0.5888
71,1.008,0.5975
72,1.027,0.605
73,1.046,0.6137
74,1.064,0.6225
75,1.081,0.63
76,1.1,0.6387
77,1.117,0.6475
78,1.136,0.655
79,1.155,0.6637
80,1.173,0.6725
81,1.192,0.68
82,1.21,0.6887
83,1.229,0.6975
84,1.248,0.705
85,1.266,0.7138
86,1.285,0.7225
87,1.303,0.73
88,1.322,0.7387
89,1.341,0.7475
90,1.361,0.755
91,1.381,0.7637
92,1.401,0.7725
93,1.421,0.78
94,1.442,0.7887
95,1.463,0.7975
96,1.484,0.805
97,1.505,0.8137
98,1.527,0.8225
99,1.548,0.83
100,1.569,0.8388
101,1.59,0.8475
102,1.611,0.855
103,1.633,0.8637
104,1.654,0.8725
105,1.675,0.88
106,1.696,0.8887
107,1.717,0.8975
108,1.739,0.905
109,1.76,0.9137
110,1.782,0.9225
111,1.803,0.93
112,1.825,0.9387
113,1.848,0.9475
114,1.871,0.9562
115,1.894,0.9638
116,1.918,0.9725
117,1.941,0.9812
118,1.965,0.9887
119,1.989,0.9975
120,2.014,1.005
121,2.038,1.0137
122,2.061,1.0225
123,2.085,1.03
124,2.11,1.0387
125,2.135,1.0475
126,2.16,1.055
127,2.184,1.0638
128,2.209,1.0725
129,2.234,1.08
130,2.259,1.0888
131,2.283,1.0975
132,2.308,1.1062
133,2.334,1.1137
134,2.359,1.1225
135,2.384,1.1313
136,2.409,1.1387
137,2.433,1.1475
138,2.457,1.1562
139,2.482,1.1637
140,2.506,1.1725
141,2.531,1.1812
142,2.555,1.1888
143,2.578,1.1975
144,2.603,1.2062
145,2.628,1.215
146,2.651,1.2225
147,2.675,1.2312
148,2.699,1.2387
149,2.723,1.2475
150,2.745,1.2563
151,2.769,1.2637
152,2.792,1.2725
153,2.815,1.2812
154,2.838,1.2887
155,2.861,1.2975
156,2.884,1.3062
157,2.906,1.3138
158,2.928,1.3225
159,2.944,1.3312
160,2.964,1.3388
161,2.986,1.3475
162,3.009,1.3562
163,3.032,1.365
164,3.055,1.3725
165,3.078,1.3813
166,3.101,1.39
167,3.123,1.3975
168,3.145,1.4062
169,3.167,1.415
170,3.19,1.4225
171,3.21,1.4312
172,3.231,1.44
173,3.252,1.4475
174,3.272,1.4562
175,3.294,1.465
176,3.315,1.4725
177,3.335,1.4812
178,3.356,1.4887
179,3.377,1.4975
180,3.397,1.5063
181,2.602,1.515
182,1.699,1.5225
183,1.714,1.5312
184,1.737,1.54
185,1.759,1.5487
186,1.782,1.5562
187,1.804,1.565
188,1.825,1.5738
189,1.847,1.5812
190,1.868,1.59
191,1.888,1.5987
192,1.907,1.6075
193,1.925,1.615
194,1.943,1.6237
195,1.96,1.6325
196,1.978,1.6413
197,1.994,1.6487
198,2.01,1.6575
199,2.025,1.6662
200,2.012,1.675
201,1.996,1.6825
202,2.008,1.6912
203,2.021,1.6988
204,2.033,1.7075
205,2.045,1.7162
206,2.057,1.725
207,2.068,1.7325
208,2.079,1.7412
209,2.08,1.75
210,2.082,1.7575
211,2.089,1.7663
212,2.094,1.775
213,2.099,1.7837
214,2.105,1.7912
215,2.111,1.8
216,2.117,1.8087
217,2.122,1.8162
218,2.118,1.825
219,2.121,1.8338
220,2.124,1.8425
221,2.128,1.85
222,2.133,1.8587
223,2.13,1.8675
224,2.043,1.875
225,2.025,1.8837
226,2.018,1.8925
227,2.014,1.9013
228,2.009,1.9087
229,2.006,1.9175
230,2.003,1.9262
231,2.001,1.9337
232,1.999,1.9425
233,1.996,1.9512
234,1.955,1.96
235,1.514,1.9675
236,1.251,1.9762
237,1.131,1.985
238,1.113,1.9925
239,1.106,2.0013
240,1.102,2.01
241,1.099,2.0187
242,1.098,2.0262
243,1.095,2.035
244,1.092,2.0438
245,1.09,2.0512
246,1.088,2.06
247,1.086,2.0687
248,1.084,2.0775
249,1.08,2.085
250,1.077,2.0938
251,1.07,2.1025
252,1.063,2.11
253,1.06,2.1187
254,1.058,2.1275
255,1.055,2.135
256,1.051,2.1437
257,1.048,2.1525
258,1.044,2.1612
259,1.04,2.1688
260,1.033,2.1775
261,1.028,2.1862
262,1.023,2.1937
263,1.017,2.2025
264,1.011,2.2113
265,0.998,2.22
266,0.985,2.2275
267,0.974,2.2362
268,0.96,2.245
269,0.931,2.2537
270,0.697,2.2613
271,0.621,2.27
272,0.602,2.2787
273,0.589,2.2862
274,0.575,2.295
275,0.565,2.3038
276,0.558,2.3112
277,0.551,2.32
278,0.545,2.3287
279,0.536,2.3375
280,0.523,2.345
281,0.508,2.3537
282,0.49,2.3625
283,0.467,2.3712
284,0.444,2.3787
285,0.42,2.3875
286,0.395,2.3963
287,0.334,2.4037
288,0.259,2.4125
289,0.235,2.4212
290,0.217,2.4288
291,0.207,2.4375
292,0.202,2.4462
293,0.198,2.455
294,0.194,2.4625
295,0.19,2.4713
296,0.171,2.48
297,0.164,2.4875
298,0.134,2.4962
299,0.125,2.505
300,0.121,2.5137
301,0.117,2.5213
302,0.112,2.53
303,0.108,2.5387
304,0.104,2.5462
305,0.102,2.555
306,0.098,2.5638
307,0.095,2.5712
308,0.091,2.58
309,0.089,2.5887
310,0.087,2.5963
311,0.085,2.605
312,0.083,2.6137
313,0.082,2.6225
314,0.08,2.63
315,0.079,2.6387
316,0.079,2.6475
317,0.078,2.655
318,0.077,2.6637
319,0.076,2.6725
320,0.075,2.6812
321,0.074,2.6888
322,0.073,2.6975
323,0.072,2.7062
324,0.071,2.7137
325,0.071,2.7225
326,0.07,2.7313
327,0.07,2.7387
328,0.069,2.7475
329,0.067,2.7562
330,0.066,2.765
331,0.065,2.7725
332,0.064,2.7812
333,0.063,2.79
334,0.063,2.7975
335,0.063,2.8062
