Index,Load (kN),Defor (mm)
147,2.161,1.2275
148,2.18,1.2362
149,2.2,1.2437
150,2.219,1.2525
151,2.239,1.2613
152,2.258,1.2687
153,2.277,1.2775
154,2.296,1.2862
155,2.315,1.2937
156,2.334,1.3025
157,2.352,1.3112
158,2.371,1.3188
159,2.391,1.3275
160,2.409,1.3362
161,2.428,1.3438
162,2.447,1.3525
163,2.466,1.36
164,2.485,1.3687
165,2.505,1.3775
166,2.525,1.385
167,2.545,1.3937
168,2.565,1.4025
169,2.584,1.41
170,2.603,1.4187
171,2.622,1.4275
172,2.642,1.435
173,2.662,1.4438
174,2.681,1.4525
175,2.7,1.46
176,2.72,1.4688
177,2.738,1.4775
178,2.756,1.485
179,1.712,1.4937
180,1.166,1.5025
181,1.187,1.5113
182,1.209,1.5187
183,1.231,1.5275
184,1.252,1.5362
185,1.274,1.5437
186,1.296,1.5525
187,1.317,1.5612
188,1.338,1.57
189,1.359,1.5775
190,1.378,1.5862
191,1.398,1.595
192,1.417,1.6025
193,1.436,1.6112
194,1.454,1.62
195,1.473,1.6275
196,1.49,1.6363
197,1.508,1.645
198,1.526,1.6525
199,1.544,1.6612
200,1.561,1.67
201,1.578,1.6775
202,1.595,1.6862
203,1.612,1.695
204,1.628,1.7025
205,1.644,1.7112
206,1.66,1.72
207,1.676,1.7287
208,1.692,1.7362
209,1.707,1.745
210,1.722,1.7525
211,1.737,1.7613
212,1.751,1.77
213,1.765,1.7775
214,1.779,1.7862
215,1.792,1.795
216,1.807,1.8025
217,1.82,1.8112
218,1.834,1.82
219,1.848,1.8288
220,1.862,1.8362
221,1.875,1.845
222,1.888,1.8537
223,1.901,1.8625
224,1.914,1.87
225,1.926,1.8787
226,1.939,1.8862
227,1.951,1.895
228,1.96,1.9037
229,1.965,1.9125
230,1.976,1.92
231,1.987,1.9287
232,1.997,1.9375
233,2.008,1.945
234,2.019,1.9538
235,2.029,1.9625
236,2.038,1.97
237,2.048,1.9787
238,2.058,1.9875
239,2.068,1.995
240,2.077,2.0037
241,2.087,2.0125
242,2.096,2.02
243,2.105,2.0287
244,2.114,2.0375
245,2.123,2.0462
246,2.133,2.0538
247,2.142,2.0625
248,2.151,2.0712
249,2.16,2.0787
250,2.17,2.0875
251,2.178,2.0963
252,2.174,2.105
253,2.08,2.1125
254,2.078,2.1212
255,2.082,2.13
256,2.086,2.1375
257,2.091,2.1463
258,2.095,2.155
259,2.1,2.1625
260,2.103,2.1712
261,2.101,2.18
262,2.085,2.1875
263,2.069,2.1962
264,2.072,2.205
265,2.076,2.2125
266,2.078,2.2213
267,2.08,2.23
268,2.08,2.2375
269,2.078,2.2462
270,2.074,2.255
271,2.066,2.2637
272,1.976,2.2713
273,1.961,2.28
274,1.954,2.2887
275,1.948,2.2962
276,1.942,2.305
277,1.935,2.3138
278,1.691,2.3225
279,1.261,2.33
280,1.243,2.3387
281,1.238,2.3475
282,1.237,2.3563
283,1.235,2.3637
284,1.234,2.3725
285,1.232,2.3812
286,1.232,2.3887
287,1.229,2.3975
288,1.218,2.4062
289,1.208,2.415
290,1.194,2.4225
291,0.872,2.4312
292,0.56,2.44
293,0.553,2.4488
294,0.555,2.4562
295,0.557,2.465
296,0.56,2.4737
297,0.564,2.4813
298,0.566,2.49
299,0.57,2.4987
300,0.573,2.5062
301,0.576,2.515
302,0.579,2.5237
303,0.582,2.5325
304,0.586,2.54
305,0.589,2.5487
306,0.591,2.5575
307,0.594,2.5662
308,0.596,2.5738
309,0.599,2.5825
310,0.6,2.5912
311,0.603,2.5987
312,0.605,2.6075
313,0.607,2.6163
314,0.609,2.625
315,0.61,2.6325
316,0.612,2.6412
317,0.613,2.65
318,0.615,2.6588
319,0.616,2.6662
320,0.618,2.675
321,0.618,2.6837
322,0.617,2.6912
323,0.599,2.7
324,0.417,2.7088
325,0.18,2.7162
326,0.168,2.725
327,0.163,2.7337
328,0.162,2.7425
329,0.161,2.75
330,0.159,2.7587
331,0.157,2.7675
332,0.156,2.7762
333,0.156,2.7837
334,0.157,2.7925
335,0.156,2.8012
336,0.157,2.8087
337,0.156,2.8175
338,0.154,2.8262
339,0.15,2.8338
340,0.149,2.8425
341,0.148,2.8512
342,0.148,2.86
343,0.148,2.8675
344,0.148,2.8763
345,0.148,2.885
346,0.149,2.8925
347,0.148,2.9012
348,0.149,2.91
349,0.149,2.9188
350,0.146,2.9262
