Index,Load (kN),Defor (mm)
0,0.008,0.0088
1,0.012,0.0162
2,0.018,0.025
3,0.023,0.0337
4,0.029,0.0412
5,0.035,0.05
6,0.043,0.0575
7,0.05,0.0662
8,0.058,0.075
9,0.067,0.0825
10,0.077,0.0912
11,0.087,0.0987
12,0.097,0.1075
13,0.108,0.1163
14,0.119,0.1237
15,0.13,0.1325
16,0.142,0.1412
17,0.152,0.1487
18,0.164,0.1575
19,0.175,0.1662
20,0.187,0.1737
21,0.199,0.1825
22,0.21,0.19
23,0.222,0.1987
24,0.234,0.2075
25,0.246,0.215
26,0.257,0.2237
27,0.269,0.2325
28,0.281,0.24
29,0.292,0.2488
30,0.304,0.2575
31,0.315,0.265
32,0.326,0.2738
33,0.338,0.2825
34,0.35,0.29
35,0.36,0.2987
36,0.372,0.3063
37,0.383,0.315
38,0.395,0.3237
39,0.407,0.3312
40,0.418,0.34
41,0.429,0.3487
42,0.44,0.3562
43,0.452,0.365
44,0.464,0.3738
45,0.475,0.3812
46,0.487,0.39
47,0.499,0.3987
48,0.511,0.4062
49,0.524,0.415
50,0.536,0.4225
51,0.547,0.4312
52,0.56,0.44
53,0.573,0.4475
54,0.585,0.4562
55,0.598,0.4637
56,0.61,0.4725
57,0.624,0.4812
58,0.637,0.49
59,0.65,0.4975
60,0.664,0.5062
61,0.677,0.5138
62,0.691,0.5225
63,0.705,0.5312
64,0.719,0.5387
65,0.733,0.5475
66,0.748,0.5562
67,0.763,0.5637
68,0.778,0.5725
69,0.794,0.5813
70,0.809,0.5888
71,0.825,0.5975
72,0.84,0.6062
73,0.856,0.6137
74,0.872,0.6225
75,0.887,0.6312
76,0.903,0.6387
77,0.918,0.6475
78,0.934,0.655
79,0.95,0.6637
80,0.967,0.6725
81,0.982,0.68
82,0.999,0.6887
83,1.015,0.6962
84,1.031,0.705
85,1.047,0.7138
86,1.064,0.7212
87,1.08,0.73
88,1.098,0.7387
89,1.113,0.7462
90,1.129,0.755
91,1.145,0.7637
92,1.162,0.7713
93,1.177,0.78
94,1.194,0.7875
95,1.211,0.7962
96,1.228,0.805
97,1.245,0.8125
98,1.262,0.8212
99,1.279,0.83
100,1.296,0.8375
101,1.314,0.8462
102,1.331,0.855
103,1.349,0.8625
104,1.367,0.8712
105,1.384,0.88
106,1.403,0.8875
107,1.421,0.8963
108,1.438,0.905
109,1.457,0.9125
110,1.474,0.9212
111,1.492,0.9287
112,1.51,0.9375
113,1.528,0.9462
114,1.546,0.9537
115,1.565,0.9625
116,1.583,0.97
117,1.602,0.9787
118,1.62,0.9875
119,1.639,0.995
120,1.658,1.0037
121,1.677,1.0125
122,1.695,1.02
123,1.714,1.0287
124,1.733,1.0375
125,1.751,1.045
126,1.769,1.0537
127,1.787,1.0625
128,1.805,1.07
129,1.823,1.0788
130,1.841,1.0862
131,1.86,1.095
132,1.877,1.1037
133,1.896,1.1112
134,1.914,1.12
135,1.933,1.1287
136,1.952,1.1363
137,1.972,1.145
138,1.991,1.1537
139,2.009,1.1612
140,2.028,1.17
141,2.049,1.1775
142,2.066,1.1862
143,2.086,1.195
144,2.104,1.2025
145,2.123,1.2112
146,2.142,1.2188
