Index,Load (kN),Defor (mm)
296,1.283,2.4825
297,1.284,2.49
298,1.286,2.4987
299,1.287,2.5075
300,1.288,2.515
301,1.29,2.5237
302,1.291,2.5325
303,1.293,2.5412
304,1.294,2.5487
305,1.295,2.5575
306,1.297,2.565
307,1.298,2.5738
308,1.3,2.5825
309,1.302,2.5912
310,1.304,2.5987
311,1.306,2.6075
312,1.309,2.6163
313,1.307,2.6237
314,1.3,2.6325
315,1.3,2.6412
316,1.302,2.6487
317,1.303,2.6575
318,1.305,2.6662
319,1.307,2.6737
320,1.309,2.6825
321,1.309,2.69
322,1.311,2.6988
323,1.306,2.7075
324,1.297,2.7162
325,1.295,2.7237
326,1.293,2.7325
327,1.294,2.7413
328,1.295,2.7487
329,1.296,2.7575
330,1.296,2.7662
331,1.297,2.7737
332,1.296,2.7825
333,1.296,2.7912
334,1.296,2.7987
335,1.295,2.8075
336,1.293,2.8162
337,1.292,2.825
338,1.29,2.8325
339,1.288,2.8412
340,1.286,2.85
341,1.286,2.8575
342,1.285,2.8663
343,1.283,2.875
344,1.259,2.8825
345,0.73,2.8912
346,0.497,2.8987
347,0.467,2.9075
348,0.454,2.9162
349,0.445,2.925
350,0.439,2.9325
351,0.436,2.9412
352,0.435,2.95
353,0.435,2.9575
354,0.434,2.9662
355,0.434,2.975
356,0.435,2.9825
357,0.437,2.9913
358,0.438,3.0
359,0.439,3.0075
360,0.44,3.0162
361,0.441,3.025
362,0.442,3.0325
363,0.442,3.0412
364,0.428,3.05
365,0.395,3.0575
366,0.378,3.0662
367,0.368,3.075
368,0.354,3.0825
369,0.33,3.0912
370,0.322,3.1
371,0.319,3.1075
372,0.317,3.1163
373,0.318,3.125
374,0.316,3.1325
375,0.313,3.1412
376,0.301,3.1487
377,0.298,3.1575
378,0.298,3.1662
379,0.298,3.175
380,0.297,3.1825
381,0.295,3.1912
382,0.295,3.1988
383,0.294,3.2075
384,0.292,3.2162
385,0.292,3.2237
386,0.291,3.2325
387,0.291,3.2413
388,0.29,3.2487
389,0.29,3.2575
390,0.29,3.2662
391,0.29,3.2737
392,0.29,3.2825
393,0.29,3.2912
394,0.288,3.2987
395,0.286,3.3075
396,0.284,3.315
397,0.283,3.3238
398,0.282,3.3325
399,0.281,3.34
400,0.279,3.3487
401,0.278,3.3575
402,0.278,3.365
403,0.278,3.3737
404,0.266,3.3825
405,0.254,3.39
406,0.251,3.3987
407,0.25,3.4075
408,0.25,3.415
409,0.25,3.4237
410,0.25,3.4312
411,0.249,3.44
412,0.249,3.4488
413,0.249,3.4562
414,0.249,3.465
415,0.248,3.4737
416,0.248,3.4812
417,0.247,3.49
