Index,Load (kN),Defor (mm)
295,14.22,0.2512
296,14.276,0.2525
297,14.328,0.2537
298,14.384,0.2537
299,14.436,0.255
300,14.488,0.2562
301,14.54,0.2562
302,14.596,0.2575
303,14.648,0.2587
304,14.7,0.2587
305,14.752,0.26
306,14.8,0.2612
307,14.852,0.2612
308,14.904,0.2625
309,14.956,0.2637
310,15.004,0.2637
311,15.056,0.265
312,15.108,0.2662
313,15.156,0.2662
314,15.208,0.2675
315,15.256,0.2687
316,15.304,0.2687
317,15.352,0.27
318,15.4,0.2712
319,15.448,0.2712
320,15.496,0.2725
321,15.544,0.2738
322,15.592,0.2738
323,15.636,0.275
324,15.684,0.2763
325,15.732,0.2763
326,15.776,0.2775
327,15.82,0.2788
328,15.864,0.2788
329,15.912,0.28
330,15.956,0.2812
331,16.004,0.2812
332,16.048,0.2825
333,16.092,0.2837
334,16.136,0.2837
335,16.18,0.285
336,16.224,0.2862
337,16.268,0.2862
338,16.312,0.2875
339,16.356,0.2887
340,16.404,0.2887
341,16.444,0.29
342,16.492,0.2912
343,16.536,0.2912
344,16.58,0.2925
345,16.624,0.2937
346,16.672,0.2937
347,16.712,0.295
348,16.76,0.2962
349,16.804,0.2962
350,16.848,0.2975
351,16.892,0.2987
352,16.936,0.2987
353,16.98,0.3
354,17.024,0.3012
355,17.068,0.3012
356,17.112,0.3025
357,17.156,0.3025
358,17.196,0.3037
359,17.24,0.305
360,17.28,0.305
361,17.324,0.3063
362,17.368,0.3075
363,17.408,0.3075
364,17.452,0.3088
365,17.492,0.31
366,17.532,0.31
367,17.576,0.3113
368,17.616,0.3125
369,17.656,0.3125
370,17.696,0.3137
371,17.736,0.315
372,17.776,0.315
373,17.816,0.3162
374,17.856,0.3175
375,17.892,0.3175
376,17.932,0.3187
377,17.972,0.32
378,18.008,0.32
379,18.048,0.3212
380,18.084,0.3225
381,18.52,0.3312
382,18.55,0.3325
383,18.59,0.3325
384,18.62,0.3337
385,18.66,0.335
386,18.69,0.335
387,18.72,0.3363
388,18.75,0.3375
389,18.78,0.3375
390,18.81,0.3388
391,18.85,0.34
392,18.88,0.34
393,18.9,0.3413
394,18.94,0.3425
395,18.96,0.3425
396,19.0,0.3438
397,19.02,0.345
398,19.05,0.345
399,19.08,0.3462
400,19.11,0.3475
401,19.14,0.3475
402,19.16,0.3487
403,19.19,0.35
404,19.22,0.35
405,19.24,0.3512
406,19.27,0.3525
407,19.3,0.3525
408,19.32,0.3537
409,19.35,0.355
410,19.37,0.355
411,19.4,0.3562
412,19.42,0.3575
413,19.45,0.3575
414,19.47,0.3587
415,19.49,0.36
416,19.52,0.36
417,19.54,0.3612
418,19.56,0.3625
419,19.59,0.3625
420,19.61,0.3637
421,19.63,0.365
422,19.65,0.365
423,19.67,0.3662
424,19.7,0.3675
425,19.72,0.3675
426,19.74,0.3688
427,19.76,0.37
428,19.78,0.37
429,19.8,0.3713
430,19.82,0.3725
431,19.84,0.3725
432,19.86,0.3738
433,19.88,0.375
434,19.9,0.375
435,19.92,0.3762
436,19.94,0.3775
437,19.96,0.3775
438,19.98,0.3787
439,20.0,0.38
440,20.01,0.38
441,20.03,0.3812
442,20.05,0.3825
443,20.07,0.3825
444,20.09,0.3837
445,20.1,0.385
446,20.12,0.385
447,20.14,0.3862
448,20.16,0.3862
449,20.17,0.3875
450,20.19,0.3887
451,20.2,0.3887
452,20.22,0.39
453,20.24,0.3912
454,20.26,0.3925
455,20.27,0.3925
456,20.29,0.3937
457,20.3,0.3937
458,20.32,0.395
459,20.33,0.3962
460,20.35,0.3962
461,20.36,0.3975
462,20.38,0.3987
463,20.4,0.3987
464,20.41,0.4
465,20.42,0.4013
466,20.44,0.4025
467,20.45,0.4025
468,20.47,0.4038
469,20.48,0.4038
470,20.5,0.405
471,20.51,0.4062
472,20.52,0.4062
473,20.54,0.4075
474,20.55,0.4087
475,20.56,0.4087
476,20.58,0.41
477,20.59,0.4112
478,20.6,0.4112
479,20.62,0.4125
480,20.63,0.4137
481,20.65,0.4137
482,20.65,0.415
483,20.67,0.4162
484,20.68,0.4162
485,20.69,0.4175
486,20.71,0.4187
487,20.72,0.4187
488,20.73,0.42
489,20.74,0.4212
490,20.75,0.4212
491,20.77,0.4225
492,20.78,0.4237
493,20.79,0.4237
494,20.8,0.425
495,20.81,0.4262
496,20.83,0.4262
497,20.84,0.4275
498,20.85,0.4287
499,20.86,0.4287
500,20.87,0.43
501,20.88,0.4312
502,20.89,0.4312
503,20.9,0.4325
504,20.91,0.4338
505,20.92,0.4338
506,20.93,0.435
507,20.95,0.4363
508,20.96,0.4363
509,20.97,0.4375
510,20.98,0.4387
511,20.99,0.4387
512,21.0,0.44
513,21.01,0.4412
514,21.01,0.4412
515,21.03,0.4425
516,21.04,0.4437
517,21.05,0.4437
518,21.06,0.445
519,21.07,0.4462
520,21.08,0.4462
521,21.09,0.4475
522,21.1,0.4487
523,21.11,0.4487
524,21.11,0.45
525,21.13,0.4512
526,21.13,0.4512
527,21.14,0.4525
528,21.15,0.4537
529,21.16,0.4537
530,21.17,0.455
531,21.18,0.4562
532,21.19,0.4562
533,21.2,0.4575
534,21.21,0.4587
535,21.22,0.4587
536,21.22,0.46
537,21.23,0.4612
538,21.24,0.4612
539,21.25,0.4625
540,21.26,0.4637
541,21.27,0.4637
542,21.28,0.465
543,21.29,0.4663
544,21.29,0.4663
545,21.3,0.4675
546,21.31,0.4688
547,21.32,0.4688
548,21.33,0.47
549,21.33,0.4712
550,21.34,0.4712
551,21.35,0.4725
552,21.36,0.4737
553,21.37,0.4737
554,21.38,0.475
555,21.38,0.4762
556,21.39,0.4762
557,21.4,0.4775
558,21.41,0.4787
559,21.42,0.4787
560,21.42,0.48
561,21.43,0.4812
562,21.44,0.4825
563,21.45,0.4825
564,21.46,0.4837
565,21.46,0.4837
566,21.47,0.485
567,21.48,0.4862
568,21.49,0.4862
569,21.49,0.4875
570,21.5,0.4887
571,21.51,0.4887
572,21.51,0.49
573,21.52,0.4912
574,21.53,0.4925
575,21.54,0.4925
576,21.54,0.4937
577,21.55,0.4937
578,21.56,0.495
579,21.57,0.4963
580,21.57,0.4963
581,21.58,0.4975
582,21.58,0.4988
583,21.59,0.4988
584,21.6,0.5
585,21.61,0.5012
586,21.62,0.5025
587,21.62,0.5025
588,21.63,0.5037
589,21.63,0.5037
590,21.65,0.505
591,21.65,0.5062
592,21.66,0.5062
593,21.67,0.5075
594,21.67,0.5087
595,21.68,0.5087
596,21.69,0.51
597,21.69,0.5112
598,21.7,0.5125
599,21.7,0.5125
600,21.71,0.5138
601,21.72,0.5138
602,21.73,0.515
603,21.73,0.5163
