0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	336
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0070	  0.0088	   0.009	   0.045
    1	  0.0090	  0.0162	   0.016	   0.095
    2	  0.0100	  0.0250	   0.025	   0.145
    3	  0.0120	  0.0337	   0.034	   0.195
    4	  0.0120	  0.0412	   0.041	   0.245
    5	  0.0120	  0.0500	   0.050	   0.295
    6	  0.0120	  0.0587	   0.059	   0.345
    7	  0.0120	  0.0662	   0.066	   0.395
    8	  0.0140	  0.0750	   0.075	   0.445
    9	  0.0150	  0.0837	   0.084	   0.495
   10	  0.0150	  0.0912	   0.091	   0.545
   11	  0.0150	  0.1000	   0.100	   0.595
   12	  0.0160	  0.1088	   0.109	   0.645
   13	  0.0160	  0.1163	   0.116	   0.695
   14	  0.0150	  0.1250	   0.125	   0.745
   15	  0.0150	  0.1337	   0.134	   0.795
   16	  0.0140	  0.1412	   0.141	   0.845
   17	  0.0140	  0.1500	   0.150	   0.895
   18	  0.0140	  0.1575	   0.157	   0.945
   19	  0.0150	  0.1662	   0.166	   0.995
   20	  0.0180	  0.1750	   0.175	   1.045
   21	  0.0210	  0.1825	   0.182	   1.095
   22	  0.0230	  0.1912	   0.191	   1.145
   23	  0.0260	  0.1987	   0.199	   1.195
   24	  0.0300	  0.2075	   0.207	   1.245
   25	  0.0320	  0.2163	   0.216	   1.295
   26	  0.0350	  0.2237	   0.224	   1.345
   27	  0.0380	  0.2325	   0.233	   1.395
   28	  0.0420	  0.2412	   0.241	   1.445
   29	  0.0450	  0.2488	   0.249	   1.495
   30	  0.0460	  0.2575	   0.257	   1.545
   31	  0.0480	  0.2662	   0.266	   1.595
   32	  0.0480	  0.2738	   0.274	   1.645
   33	  0.0440	  0.2825	   0.282	   1.695
   34	  0.0420	  0.2912	   0.291	   1.745
   35	  0.0410	  0.2987	   0.299	   1.795
   36	  0.0420	  0.3075	   0.308	   1.845
   37	  0.0440	  0.3150	   0.315	   1.895
   38	  0.0470	  0.3237	   0.324	   1.945
   39	  0.0490	  0.3325	   0.332	   1.995
   40	  0.0510	  0.3413	   0.341	   2.045
   41	  0.0520	  0.3487	   0.349	   2.095
   42	  0.0550	  0.3575	   0.357	   2.145
   43	  0.0560	  0.3662	   0.366	   2.195
   44	  0.0560	  0.3738	   0.374	   2.245
   45	  0.0560	  0.3825	   0.382	   2.295
   46	  0.0590	  0.3900	   0.390	   2.345
   47	  0.0660	  0.3987	   0.399	   2.395
   48	  0.0760	  0.4075	   0.407	   2.445
   49	  0.0860	  0.4150	   0.415	   2.495
   50	  0.0960	  0.4237	   0.424	   2.545
   51	  0.1080	  0.4312	   0.431	   2.595
   52	  0.1200	  0.4400	   0.440	   2.645
   53	  0.1310	  0.4487	   0.449	   2.695
   54	  0.1430	  0.4562	   0.456	   2.745
   55	  0.1570	  0.4650	   0.465	   2.795
   56	  0.1710	  0.4737	   0.474	   2.845
   57	  0.1850	  0.4812	   0.481	   2.895
   58	  0.2010	  0.4900	   0.490	   2.945
   59	  0.2150	  0.4988	   0.499	   2.995
   60	  0.2310	  0.5062	   0.506	   3.045
   61	  0.2470	  0.5150	   0.515	   3.095
   62	  0.2610	  0.5238	   0.524	   3.145
   63	  0.2770	  0.5312	   0.531	   3.195
   64	  0.2930	  0.5400	   0.540	   3.245
   65	  0.3090	  0.5487	   0.549	   3.295
   66	  0.3250	  0.5562	   0.556	   3.345
   67	  0.3420	  0.5650	   0.565	   3.395
   68	  0.3580	  0.5737	   0.574	   3.445
   69	  0.3740	  0.5813	   0.581	   3.495
   70	  0.3910	  0.5900	   0.590	   3.545
   71	  0.4070	  0.5975	   0.597	   3.595
   72	  0.4230	  0.6062	   0.606	   3.645
   73	  0.4400	  0.6150	   0.615	   3.695
   74	  0.4570	  0.6225	   0.623	   3.745
   75	  0.4730	  0.6312	   0.631	   3.795
   76	  0.4900	  0.6400	   0.640	   3.845
   77	  0.5060	  0.6475	   0.647	   3.895
   78	  0.5230	  0.6562	   0.656	   3.945
   79	  0.5390	  0.6650	   0.665	   3.995
   80	  0.5560	  0.6725	   0.673	   4.045
   81	  0.5730	  0.6812	   0.681	   4.095
   82	  0.5890	  0.6887	   0.689	   4.145
   83	  0.6060	  0.6975	   0.697	   4.195
   84	  0.6230	  0.7063	   0.706	   4.245
   85	  0.6400	  0.7138	   0.714	   4.295
   86	  0.6570	  0.7225	   0.722	   4.345
   87	  0.6740	  0.7300	   0.730	   4.395
   88	  0.6900	  0.7387	   0.739	   4.445
   89	  0.7080	  0.7475	   0.748	   4.495
   90	  0.7260	  0.7550	   0.755	   4.545
   91	  0.7420	  0.7637	   0.764	   4.595
   92	  0.7590	  0.7725	   0.772	   4.645
   93	  0.7760	  0.7800	   0.780	   4.695
   94	  0.7930	  0.7887	   0.789	   4.745
   95	  0.8100	  0.7975	   0.797	   4.795
   96	  0.8270	  0.8050	   0.805	   4.845
   97	  0.8450	  0.8137	   0.814	   4.895
   98	  0.8630	  0.8225	   0.822	   4.945
   99	  0.8820	  0.8300	   0.830	   4.995
  100	  0.9000	  0.8388	   0.839	   5.045
  101	  0.9180	  0.8462	   0.846	   5.095
  102	  0.9370	  0.8550	   0.855	   5.145
  103	  0.9560	  0.8637	   0.864	   5.195
  104	  0.9740	  0.8712	   0.871	   5.245
  105	  0.9930	  0.8800	   0.880	   5.295
  106	  1.0130	  0.8887	   0.889	   5.345
  107	  1.0330	  0.8963	   0.896	   5.395
  108	  1.0520	  0.9050	   0.905	   5.445
  109	  1.0720	  0.9137	   0.914	   5.495
  110	  1.0930	  0.9212	   0.921	   5.545
  111	  1.1130	  0.9300	   0.930	   5.595
  112	  1.1350	  0.9387	   0.939	   5.645
  113	  1.1550	  0.9462	   0.946	   5.695
  114	  1.1760	  0.9550	   0.955	   5.745
  115	  1.1970	  0.9638	   0.964	   5.795
  116	  1.2180	  0.9712	   0.971	   5.845
  117	  1.2400	  0.9800	   0.980	   5.895
  118	  1.2600	  0.9887	   0.989	   5.945
  119	  1.2820	  0.9962	   0.996	   5.995
  120	  1.3040	  1.0050	   1.005	   6.045
  121	  1.3240	  1.0137	   1.014	   6.095
  122	  1.3470	  1.0213	   1.021	   6.145
  123	  1.3690	  1.0300	   1.030	   6.195
  124	  1.3910	  1.0387	   1.039	   6.245
  125	  1.4120	  1.0462	   1.046	   6.295
  126	  1.4340	  1.0550	   1.055	   6.345
  127	  1.4550	  1.0638	   1.064	   6.395
  128	  1.4770	  1.0712	   1.071	   6.445
  129	  1.4990	  1.0800	   1.080	   6.495
  130	  1.5210	  1.0888	   1.089	   6.545
  131	  1.5440	  1.0962	   1.096	   6.595
  132	  1.5660	  1.1050	   1.105	   6.645
  133	  1.5880	  1.1137	   1.114	   6.695
  134	  1.6110	  1.1213	   1.121	   6.745
  135	  1.6340	  1.1300	   1.130	   6.795
  136	  1.6570	  1.1387	   1.139	   6.845
  137	  1.6790	  1.1463	   1.146	   6.895
  138	  1.7020	  1.1550	   1.155	   6.945
  139	  1.7260	  1.1637	   1.164	   6.995
  140	  1.7500	  1.1712	   1.171	   7.045
  141	  1.7730	  1.1800	   1.180	   7.095
  142	  1.7980	  1.1888	   1.189	   7.145
  143	  1.8220	  1.1962	   1.196	   7.195
  144	  1.8460	  1.2050	   1.205	   7.245
  145	  1.8700	  1.2138	   1.214	   7.295
  146	  1.8940	  1.2212	   1.221	   7.345
  147	  1.9180	  1.2300	   1.230	   7.395
  148	  1.9430	  1.2387	   1.239	   7.445
