0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	418
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0060	  0.0075	   0.007	   0.045
    1	  0.0080	  0.0162	   0.016	   0.095
    2	  0.0090	  0.0250	   0.025	   0.145
    3	  0.0100	  0.0325	   0.032	   0.195
    4	  0.0070	  0.0412	   0.041	   0.245
    5	  0.0070	  0.0500	   0.050	   0.295
    6	  0.0120	  0.0575	   0.057	   0.345
    7	  0.0150	  0.0662	   0.066	   0.395
    8	  0.0180	  0.0750	   0.075	   0.445
    9	  0.0200	  0.0825	   0.082	   0.495
   10	  0.0220	  0.0912	   0.091	   0.545
   11	  0.0200	  0.1000	   0.100	   0.595
   12	  0.0160	  0.1075	   0.107	   0.645
   13	  0.0090	  0.1163	   0.116	   0.695
   14	  0.0050	  0.1250	   0.125	   0.745
   15	  0.0030	  0.1325	   0.132	   0.795
   16	  0.0040	  0.1412	   0.141	   0.845
   17	  0.0060	  0.1500	   0.150	   0.895
   18	  0.0090	  0.1587	   0.159	   0.945
   19	  0.0150	  0.1662	   0.166	   0.995
   20	  0.0240	  0.1750	   0.175	   1.045
   21	  0.0330	  0.1825	   0.182	   1.095
   22	  0.0440	  0.1912	   0.191	   1.145
   23	  0.0550	  0.2000	   0.200	   1.195
   24	  0.0670	  0.2087	   0.209	   1.245
   25	  0.0790	  0.2163	   0.216	   1.295
   26	  0.0910	  0.2250	   0.225	   1.345
   27	  0.1040	  0.2338	   0.234	   1.395
   28	  0.1170	  0.2412	   0.241	   1.445
   29	  0.1300	  0.2500	   0.250	   1.495
   30	  0.1430	  0.2587	   0.259	   1.545
   31	  0.1560	  0.2662	   0.266	   1.595
   32	  0.1690	  0.2750	   0.275	   1.645
   33	  0.1830	  0.2837	   0.284	   1.695
   34	  0.1970	  0.2912	   0.291	   1.745
   35	  0.2110	  0.3000	   0.300	   1.795
   36	  0.2270	  0.3088	   0.309	   1.845
   37	  0.2430	  0.3162	   0.316	   1.895
   38	  0.2580	  0.3250	   0.325	   1.945
   39	  0.2750	  0.3337	   0.334	   1.995
   40	  0.2910	  0.3413	   0.341	   2.045
   41	  0.3080	  0.3500	   0.350	   2.095
   42	  0.3240	  0.3587	   0.359	   2.145
   43	  0.3400	  0.3662	   0.366	   2.195
   44	  0.3570	  0.3750	   0.375	   2.245
   45	  0.3730	  0.3837	   0.384	   2.295
   46	  0.3890	  0.3925	   0.392	   2.345
   47	  0.4050	  0.4000	   0.400	   2.395
   48	  0.4200	  0.4087	   0.409	   2.445
   49	  0.4370	  0.4175	   0.417	   2.495
   50	  0.4530	  0.4250	   0.425	   2.545
   51	  0.4690	  0.4338	   0.434	   2.595
   52	  0.4860	  0.4425	   0.442	   2.645
   53	  0.5010	  0.4500	   0.450	   2.695
   54	  0.5170	  0.4587	   0.459	   2.745
   55	  0.5330	  0.4675	   0.468	   2.795
   56	  0.5490	  0.4762	   0.476	   2.845
   57	  0.5640	  0.4837	   0.484	   2.895
   58	  0.5800	  0.4925	   0.492	   2.945
   59	  0.5970	  0.5012	   0.501	   2.995
   60	  0.6140	  0.5087	   0.509	   3.045
   61	  0.6290	  0.5175	   0.517	   3.095
   62	  0.6460	  0.5263	   0.526	   3.145
   63	  0.6620	  0.5337	   0.534	   3.195
   64	  0.6790	  0.5425	   0.542	   3.245
   65	  0.6950	  0.5512	   0.551	   3.295
   66	  0.7110	  0.5587	   0.559	   3.345
   67	  0.7280	  0.5675	   0.567	   3.395
   68	  0.7440	  0.5763	   0.576	   3.445
   69	  0.7610	  0.5838	   0.584	   3.495
   70	  0.7780	  0.5925	   0.592	   3.545
   71	  0.7950	  0.6012	   0.601	   3.595
   72	  0.8120	  0.6087	   0.609	   3.645
   73	  0.8290	  0.6175	   0.618	   3.695
