Index,Load (kN),Defor (mm)
276,2.087,0.026
277,2.093,0.026
278,2.098,0.026
279,2.103,0.0264
280,2.108,0.0264
281,2.114,0.0264
282,2.12,0.0264
283,2.125,0.0268
284,2.131,0.0268
285,2.136,0.0268
286,2.141,0.0268
287,2.147,0.0268
288,2.152,0.0268
289,2.157,0.0272
290,2.163,0.0272
291,2.168,0.0272
292,2.174,0.0272
293,2.18,0.0272
294,2.185,0.0276
295,2.189,0.0276
296,2.194,0.0276
297,2.2,0.0276
298,2.205,0.0276
299,2.21,0.028
300,2.215,0.0276
301,2.221,0.028
302,2.227,0.028
303,2.231,0.028
304,2.236,0.028
305,2.242,0.028
306,2.247,0.0284
307,2.252,0.0284
308,2.257,0.0284
309,2.262,0.0284
310,2.268,0.0284
311,2.273,0.0284
312,2.278,0.0288
313,2.283,0.0288
314,2.288,0.0288
315,2.293,0.0288
316,2.298,0.0288
317,2.303,0.0288
318,2.307,0.0288
319,2.313,0.0292
320,2.318,0.0292
321,2.323,0.0292
322,2.328,0.0292
323,2.333,0.0292
324,2.338,0.0292
325,2.343,0.0292
326,2.348,0.0292
327,2.353,0.0296
328,2.357,0.0296
329,2.362,0.0296
330,2.367,0.0296
331,2.372,0.03
332,2.376,0.03
333,2.381,0.0296
334,2.386,0.03
335,2.39,0.03
336,2.394,0.03
337,2.399,0.0304
338,2.403,0.0304
339,2.408,0.0304
340,2.413,0.0304
341,2.417,0.0304
342,2.421,0.0304
343,2.426,0.0304
344,2.431,0.0304
345,2.435,0.0304
346,2.441,0.0308
347,2.445,0.0308
348,2.449,0.0308
349,2.454,0.0308
350,2.458,0.0308
351,2.463,0.0308
352,2.466,0.0312
353,2.471,0.0312
354,2.476,0.0312
355,2.48,0.0312
356,2.484,0.0316
357,2.489,0.0316
358,2.493,0.0316
359,2.498,0.0316
360,2.502,0.0316
361,2.507,0.0316
362,2.511,0.0316
363,2.515,0.0316
364,2.52,0.0316
365,2.524,0.0316
366,2.528,0.032
367,2.532,0.032
368,2.537,0.032
369,2.541,0.0324
370,2.546,0.032
371,2.55,0.0324
372,2.553,0.0324
373,2.557,0.0324
374,2.562,0.0324
375,2.566,0.0324
376,2.571,0.0324
377,2.574,0.0324
378,2.579,0.0328
379,2.584,0.0328
380,2.588,0.0328
381,2.592,0.0328
382,2.596,0.0328
383,2.6,0.0328
384,2.604,0.0328
385,2.609,0.0328
386,2.613,0.0328
387,2.618,0.0328
388,2.621,0.0332
389,2.625,0.0332
390,2.629,0.0332
391,2.633,0.0336
392,2.637,0.0332
393,2.64,0.0332
394,2.644,0.0332
395,2.648,0.0336
396,2.652,0.0336
397,2.656,0.0336
398,2.66,0.0336
399,2.664,0.0336
400,2.668,0.0336
401,2.672,0.0336
402,2.676,0.034
403,2.68,0.034
404,2.683,0.034
405,2.687,0.034
406,2.691,0.034
407,2.695,0.034
408,2.699,0.034
409,2.703,0.0344
410,2.708,0.0344
411,2.711,0.0344
412,2.715,0.0344
413,2.719,0.0344
414,2.723,0.0344
415,2.727,0.0344
416,2.731,0.0344
417,2.735,0.0348
418,2.738,0.0344
419,2.742,0.0344
420,2.746,0.0348
421,2.75,0.0348
422,2.754,0.0348
423,2.757,0.0348
424,2.761,0.0352
425,2.764,0.0348
426,2.768,0.0348
427,2.773,0.0352
428,2.777,0.0352
429,2.781,0.0352
430,2.784,0.0352
431,2.788,0.0352
432,2.792,0.0352
433,2.795,0.0356
434,2.799,0.0352
435,2.802,0.0352
436,2.806,0.0356
437,2.81,0.0356
438,2.814,0.0356
439,2.817,0.0356
440,2.821,0.0356
441,2.824,0.0356
442,2.828,0.036
443,2.832,0.036
444,2.835,0.036
445,2.839,0.036
446,2.842,0.036
447,2.846,0.036
448,2.85,0.0364
449,2.853,0.036
450,2.856,0.036
451,2.86,0.036
452,2.863,0.0364
453,2.866,0.0364
454,2.87,0.0364
455,2.873,0.0364
456,2.876,0.0364
457,2.88,0.0364
458,2.883,0.0364
459,2.887,0.0364
460,2.89,0.0368
461,2.893,0.0368
462,2.896,0.0368
463,2.9,0.0368
464,2.904,0.0368
465,2.906,0.0364
466,2.91,0.0368
467,2.913,0.0368
468,2.916,0.0372
469,2.92,0.0368
470,2.923,0.0372
471,2.926,0.0372
472,2.93,0.0372
473,2.932,0.0372
474,2.935,0.0372
475,2.939,0.0372
476,2.942,0.0372
477,2.945,0.0372
478,2.949,0.0376
479,2.952,0.0372
480,2.955,0.0376
481,2.958,0.0376
482,2.962,0.0376
483,2.965,0.0376
484,2.968,0.0376
485,2.971,0.0376
486,2.974,0.0376
487,2.976,0.0376
488,2.98,0.0376
489,2.982,0.0376
490,2.986,0.0376
491,2.989,0.038
492,2.992,0.038
493,2.995,0.038
494,2.999,0.038
495,3.002,0.038
496,3.004,0.038
497,3.008,0.0384
498,3.01,0.0384
499,3.014,0.0384
500,3.017,0.0384
501,3.02,0.0384
502,3.023,0.0384
503,3.026,0.0384
504,3.028,0.0384
505,3.032,0.0384
506,3.035,0.0384
507,3.037,0.0384
508,3.04,0.0384
509,3.043,0.0388
510,3.047,0.0388
511,3.05,0.0384
512,3.052,0.0388
513,3.055,0.0388
514,3.058,0.0388
515,3.062,0.0388
516,3.064,0.0388
517,3.067,0.0388
518,3.07,0.0388
519,3.073,0.0388
520,3.076,0.0388
521,3.078,0.0388
522,3.082,0.0392
523,3.085,0.0392
524,3.089,0.0392
525,3.091,0.0392
526,3.094,0.0392
527,3.096,0.0392
528,3.1,0.0396
529,3.102,0.0396
530,3.105,0.0392
531,3.108,0.0396
532,3.111,0.0396
533,3.114,0.0396
534,3.117,0.0392
535,3.12,0.0396
536,3.123,0.0396
537,3.126,0.0396
538,3.129,0.0396
539,3.131,0.0396
540,3.134,0.0396
541,3.138,0.04
542,3.14,0.04
543,3.143,0.04
544,3.146,0.0396
545,3.148,0.04
546,3.151,0.04
547,3.154,0.04
548,3.157,0.0404
549,3.16,0.0404
550,3.163,0.04
551,3.166,0.0404
552,3.168,0.0404
553,3.171,0.0404
554,3.174,0.0404
555,3.177,0.0404
556,3.18,0.0404
557,3.183,0.0404
558,3.185,0.0404
559,3.188,0.0404
560,3.191,0.0404
561,3.194,0.0408
562,3.196,0.0408
563,3.199,0.0408
564,3.201,0.0408
565,3.204,0.0408
566,3.206,0.0412
567,3.209,0.0408
568,3.213,0.0412
569,3.215,0.0412
570,3.217,0.0412
571,3.22,0.0412
572,3.223,0.0412
573,3.225,0.0412
574,3.228,0.0412
575,3.231,0.0412
576,3.233,0.0412
